,Apt,Rooms,Surface,Picture_Url,Location,Date,Price
355,Appartement 3 chambres aux Almadies,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/4b842278bdecced7bd42cab908c39b06/-/horizon-files-prod/ed/picture/q44jw64m/6ba1fdc47185253ddc22bd3d545c75a4672d51c8.jpg,"['Almadies,', 'Dakar']","30. nov. '22, 16:36","['650', '000 F Cfa']"
356,Appartement a louer aux almadies non loin Ambassade USA,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/82d815d6784de3962529e392be215c0d/-/horizon-files-prod/ed/picture/q7nrmvd/e8cf10d30ad9dbf75a4af319e02f14320734e72e.jpg,"['Almadies,', 'Dakar']","30. nov. '22, 16:03","['800', '000 F Cfa']"
357,Appartement à louer meubles Front de Terre,2 chambre,180 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/c5c625d3a7086145213c0e3bf2fe2fcc/-/horizon-files-prod/ed/picture/qzv26pdd/82fafe7c31b4499ea110536034e1d41c8dc65a51.jpg,"['Hann maristes,', 'Dakar']","30. nov. '22, 13:21","['600', '000 F Cfa']"
358,Appartement à louer à Mermoz,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/f9db4d83b489c195b01b911597f31960/-/horizon-files-prod/ed/picture/qpdprnmw/10bffb960638948b658c27eb5d0d6cccc7329dd5.jpg,"['Mermoz,', 'Dakar']","30. nov. '22, 13:17","['900', '000 F Cfa']"
359,Duplex type F4 à louer,3 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/83ee5345c5b2383fca75d9da9b1b25fa/-/horizon-files-prod/ed/picture/q0gpvwn6/df0dda6346b44bb9cfa18b60232acd2c19435d8f.png,"['Fann,', 'Dakar']","30. nov. '22, 13:09","['1', '400', '000 F Cfa']"
360,Appartement à louer /djily mbaye,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/cc5f7100164e01704d4723c46a93424a/-/horizon-files-prod/ed/picture/qgq57p6n/dd06c870821ba82922aba1ab53491b6e014a3ca6.jpg,"['Djily mbaye,', 'Dakar']","6. déc. '22, 10:43","['225', '000 F Cfa']"
361,Appartement Grand standing Dakar Centre Ville,2 chambre,80 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/5451297c4b02c9fc3fefbf2684d0bb6d/-/horizon-files-prod/ed/picture/q56wqxgg/a596aecde38891c0f54bf5614dd8f8954c3b5944.jpg,"['Plateau,', 'Dakar']","30. nov. '22, 10:18","['400', '000 F Cfa']"
362,Appartement meublé neuf a louer mariste 5 etoile,3 chambre,150 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/c72879ac2944f2c204498e0debf43bee/-/horizon-files-prod/ed/picture/qk9jrrv/905e4623d4de455caed4c120d33c6339919d3261.jpg,"['Sacré-cœur,', ' Dakar']","30. nov. '22, 00:36","['75', '000 F Cfa']"
363,Appartement à louer Cité Imprimerie à coté HLM Rufisque,2 chambre,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/be6086e9d768ef2575e8b1347913ca24/-/horizon-files-prod/ed/picture/q7zdnjz/3bdb9685caa5115a9975f3177820b046d0e1941e.jpg,"['Rufisque,', 'Dakar']","7. oct. '22, 10:14","['175', '000 F Cfa']"
364,Appartement meublé à louer à mermoz,3 chambre,200 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/59d8429daa70512d272c3eda1f50c3bb/-/horizon-files-prod/ed/picture/qkrm572v/a8424e81a9e5710dbdf1ebfc1c9b6362f02cf450.jpg,"['Mermoz,', 'Dakar']","30. nov. '22, 00:05","['1', '800', '000 F Cfa']"
365,Bel apprt à louer à Sacré Coeur cité Keur Gorgui,3 chambre,90 m²,https://i.roamcdn.net/hz/ed/listing-thumb-112w/1236137fbbd6f17099ba3b4312c2e39e/-/horizon-files-prod/ed/picture/q7mqvxm/8b0a7cf7ffd1fe3f693111ec5729c33a0347edf9.jpg,"['Sicap Sacré-cœur,', 'Dakar']","29. nov. '22, 23:39","['450', '000 F Cfa']"
366,Appartement à louer à Sacré-Coeur,,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/57a260e0767d9ec422369201f81d36f3/-/horizon-files-prod/ed/picture/qwem0z90/41f6b80e450a989039ddd7c9bc070735f77187e5.jpg,"['Sacré-cœur,', 'Dakar']","29. nov. '22, 16:47","['750', '000 F Cfa']"
367,Appartement à louer aux Almadies,,None,https://i.roamcdn.net/hz/ed/listing-thumb-112w/97c26fd77ddaaf3555c5f68769393229/-/horizon-files-prod/ed/picture/qzv2wvgk/b942b8394109ee8a2cf17e0efba2191b65b82d45.jpg,"['Ngor,', 'Dakar']","29. nov. '22, 14:04","['450', '000 F Cfa']"
