title,author,runtime
Beautiful Devils,Eva Ashwood, 12 hrs and 40 mins
Finlay Donovan Jumps the Gun,Elle Cosimano, 8 hrs and 38 mins
Pigeon Tony's Last Stand,Lisa Scottoline, 1 hr and 13 mins
Until Willow,Aurora Rose Reynolds, 7 hrs and 9 mins
For Blood and Money,Nathan Vardi, 8 hrs and 33 mins
Game of Hate and Lies,LJ Andrews, 10 hrs and 43 mins
No Regrets,"Matthew Kelly,Allen R. Hunt", 3 hrs and 10 mins
Dark Angel,John Sandford, 12 hrs
Garro: Knight of Grey,James Swallow, 3 hrs and 39 mins
Whispers of You,Catherine Cowles, 9 hrs and 17 mins
Chakra Healing Bible: [5 in 1],Willow Kumar, 6 hrs and 26 mins
The Emotionally Exhausted Woman,Nancy Colier, 4 hrs and 49 mins
Positive Affirmations for Black Men,Alexandra Adams, 5 hrs and 30 mins
Federation Chronicles,Ken Lozito, 31 hrs and 59 mins
Shattered Vow,Eva Chase, 9 hrs and 51 mins
BCBA Exam Study Prep Crash Course,Linda Cooper, 6 hrs and 14 mins
Lady of Darkness,Melissa Roehrich, 18 hrs and 47 mins
Scattered Minds,Gabor Maté MD, 10 hrs and 59 mins
The Wrong Bride,Catharina Maura, 11 hrs and 22 mins
The Woman Inside,Anna-Lou Weatherley, 11 hrs and 19 mins
Butterfly 4,Ashley Antoinette, 11 hrs and 18 mins
People vs. Donald Trump,Mark Pomerantz, 9 hrs and 16 mins
Eleven Rings,"Phil Jackson,Hugh Delehanty", 10 hrs and 27 mins
The Three Musketeers,Alexandre Dumas, 23 hrs and 32 mins
Red Dragon,Thomas Harris, 12 hrs and 6 mins
The Other Einstein,Marie Benedict, 8 hrs and 30 mins
The Smartest Guys in the Room,Bethany McLean, 22 hrs and 30 mins
Cloud Atlas,David Mitchell, 19 hrs and 48 mins
The Girl Who Kicked the Hornet's Nest,"Stieg Larsson,Reg Keeland - translator", 20 hrs and 17 mins
Captive Bride,Stella Gray, 7 hrs and 59 mins
Beg for It,Alexis Winter, 7 hrs and 32 mins
The Serpent and the Wings of Night,Carissa Broadbent, 14 hrs and 50 mins
The Boys from Biloxi,John Grisham, 17 hrs and 22 mins
Family Business 6,"Carl Weber,LaJill Hunt - contributor", 10 hrs and 45 mins
A Hacker's Mind,Bruce Schneier, 8 hrs and 3 mins
Nemesis of Mars,Glynn Stewart, 8 hrs and 14 mins
Dragon's Envoy,"James Haddock,Gus James", 7 hrs and 50 mins
The Never King,Nikki St. Crowe, 4 hrs and 35 mins
The Doctor's Wife,Daniel Hurst, 7 hrs and 20 mins
The Anxious Hearts Guide,Rikki Cloos, 5 hrs and 33 mins
"Proxima Legends, Vol 1",Harmon Cooper, 22 hrs and 34 mins
Unfu*k Yourself,Gary John Bishop, 3 hrs and 24 mins
The 5 Second Rule,Mel Robbins, 7 hrs and 35 mins
Lasher,Anne Rice, 28 hrs and 30 mins
Nowhere Girl,Cheryl Diamond, 10 hrs and 37 mins
The Night of the Party,Anna-Lou Weatherley, 10 hrs and 12 mins
Abiding Dependence,Ron Block, 5 hrs and 25 mins
Run on Red,Noelle West Ihli, 7 hrs and 28 mins
On the Road,Jack Kerouac, 11 hrs and 8 mins
"Many Lives, Many Masters",Brian L. Weiss M.D., 1 hr and 28 mins
