ProductName,ProductPrice,SKU,Categories,Image
Anna Yellow Mini Dress,650.00,BB-16-082,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/anna-yellow-mini-dress-01.jpg
Anna One Shoulder Yellow Tiered Gown,"1,800.00",BB-16-083,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/anna-one-shoulder-yellow-tiered-gown-01.jpg
Anna Baby Pink Tiered Mini,750.00,BB-16-006,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/anna-baby-pink-tiered-mini-01-1.jpg
Issa Coral and Lilac Gown,"1,800.00",BB-16-003,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/issa-coral-and-lilac-gown-01.jpg
Sasha Halterneck Baby Pink Maxi,850.00,BB-16-010,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/sasha-halterneck-baby-pink-maxi-01.jpg
Tulum Baby Pink Dress,950.00,BB-16-009,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/tulum-baby-pink-dress-01-1.jpg
Cleopatra Electric Pink Multi Gown,680.00,BB-16-020,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/cleopatra-electric-pink-multi-gown-01.jpg
Hanna Coral Multi Gown,950.00,BB-16-031,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/hanna-coral-multi-gown-01.jpg
Florence Halterneck Metallic Coral Gown,950.00,BB-16-035,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/florence-halterneck-metallic-coral-gown-01.jpg
Luna Turquoise Set,750.00,BB-16-059,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/luna-turquoise-set-01.jpg
Mimi Turquoise Midi,850.00,BB-16-060,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/mimi-turquoise-midi-01.jpg
Aphrodite Light Blue Gown,780.00,BB-16-055,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/aphrodite-light-blue-gown-01.jpg
Megan Turquoise Maxi Dress,760.00,BB-16-112,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/Screen-Shot-2023-03-10-at-125337-PM.png
Cleopatra Light Blue Multi Gown,680.00,BB-16-065,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/cleopatra-light-blue-multi-gown-01.jpg
Nadia V- Neck Neon Mint Mini Dress,550.00,BB-16-067,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/nadia-v-neck-neon-mint-mini-dress-02.jpg
Nadia Neon Mint Midi Dress,650.00,BB-16-068,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/nadia-neon-mint-midi-dress-01.jpg
Anna Halterneck Neon Mint Tiered Gown,"1,800.00",BB-16-069,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/anna-halterneck-neon-mint-tiered-gown-01.jpg
Webb Neon Green Dress,995.00,BB-16-070,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/webb-neon-green-dress-01.jpg
Capri Linen Mint Blazer,575.00,BB-16-074,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/capri-linen-mint-blazer-01-2.jpg
Cateye Linen Mint Blazer,220.00,BB-16-075,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/cateye-linen-mint-blazer-01.jpg
Selma Multi Mini Dress,850.00,BB-16-108,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/selma-multi-mini-dress-01.jpg
Capri Linen Mint Shorts,360.00,BB-16-076,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/cateye-linen-mint-blazer-01.jpg
Haba Coral Maxi Dress,650.00,BB-16-036,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/haba-coral-maxi-dress-01.jpg
Cateye Coral Linen Bralette,220.00,BB-16-037,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/cateye-coral-linen-bralette-01.jpg
Capri Linen Coral Blazer,575.00,BB-16-039,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/capri-linen-coral-blazer-01.jpg
Issa Electric Pink Ombre Gown,"1,800.00",BB-16-030,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/issa-electric-pink-ombre-gown-01-1.jpg
Webb Baby Blue Dress,995.00,BB-16-062,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/webb-baby-blue-dress-01.jpg
Capri Linen Coral Shorts,360.00,BB-16-038,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/cateye-coral-linen-bralette-01.jpg
Jamilia Light Blue Maxi Dress,950.00,BB-16-063,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/jamilia-light-blue-maxi-dress-01.jpg
Haba Sky Blue Maxi Dress,690.00,BB-16-051,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/haba-sky-blue-maxi-dress-01-1.jpg
Issa Light Blue Two Piece Set,950.00,BB-16-064,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/issa-light-blue-two-piece-set-01-1.jpg
Butterfly Lime Midi Dress,950.00,BB-16-071,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/butterfly-lime-midi-dress-01.jpg
Naomi Halterneck Linen Mint Maxi Dress,840.00,BB-16-077,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/naomi-halterneck-linen-mint-maxi-dress-01.jpg
Goddess Neon Yellow Gown,700.00,BB-16-079,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/goddess-neon-yellow-gown-01-1.jpg
Jamilia Mustard Linen Gown,890.00,BB-16-084,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/jamilia-mustard-linen-gown-01.jpg
Webb Lilac Dress,995.00,BB-16-101,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/webb-lilac-dress-01-1.jpg
Mimi Lilac Midi Dress,850.00,BB-16-102,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/mimi-lilac-midi-dress-01.jpg
Lilac Maxi Dress,600.00,BB-16-103,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/lilac-maxi-dress-01-1.jpg
Jamilia Multicolor One Shoulder Gown,"1,200.00",BB-16-104,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/jamilia-multicolor-one-shoulder-gown-01.jpg
Zizi Blue Playsuit,980.00,BB-15-076,"New Arrivals,Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2023/01/zizi-blue-playsuit-01.jpg
Farah Rose Sequins Mini Dress,"1,700.00",BB-16-098,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/farah-rose-sequins-mini-dress-01.jpg
Farah Mini Dress,690.00,BB-16-106,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2023/01/farah-mini-dress-01.jpg
Florence Strapless Emerald Gown,750.00,BB-16-054EM,"New Arrivals,Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2023/03/44A5276.jpg
Jafari One Sleeve Gold Metal Gown,"1,150.00",BB-16-086,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/jafari-one-sleeve-gold-metal-gown-01-1.jpg
Mimi Gold Metal Midi Dress,850.00,BB-16-087,"New Arrivals,Resort 23",https://bronxandbanco.com/wp-content/uploads/2022/09/mimi-gold-metal-midi-dress-01-1.jpg
Florence Strapless Metallic Red Gown,750.00,BB-16-054MR,"New Arrivals,Resort 23,Shop All",https://bronxandbanco.com/wp-content/uploads/2023/03/44A5203.jpg
Capri Lime Blazer,575.00,BB-08-0032,"New Arrivals,Shop All,Summer 21",https://bronxandbanco.com/wp-content/uploads/2020/12/resort-dresses-fashion-luxury-52.jpg
Lola Noir Sheer Feather Gown,,BB-10-0015,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2020/08/womens-fall-dresses-designer-428-750x1123.jpg
Megan Rose Maxi Dress,,BB-07-27,"Sale,Shop All",https://bronxandbanco.com/wp-content/uploads/2020/12/spring-dresses-2021-designer-wear-21.jpg
Rumi Lime Mini Dress,550.00,BB-08-0036,"Shop All,Summer 21",https://bronxandbanco.com/wp-content/uploads/2020/12/resort-dresses-fashion-luxury-70.jpg
Leah Dress,,BB-CAP-06-04,"Bridal,Shop All",https://bronxandbanco.com/wp-content/uploads/2021/01/summer-dresses-designer-wear-cocktail-92.jpg
Feather Long Robe,"1,195.00",BB-CAP05-19,"Bridal,Shop All",https://bronxandbanco.com/wp-content/uploads/2022/07/feather-long-robe-01.jpg
Capri Linen Sky Blazer,650.00,BB-CAP-06-12,"New Arrivals,Shop All,Summer 21 Runway",https://bronxandbanco.com/wp-content/uploads/2021/01/runway-summer-collection-dresses-nyfw-5.jpg
Stella Bridal Gown,980.00,BB-CAP05-09,"Bridal,Shop All",https://bronxandbanco.com/wp-content/uploads/2020/07/bridal-dresses-sexy-225-750x1125.jpg
Lola Blanc Sheer Feather Gown,"1,275.00",BB-CAP05-08,"Bridal,Shop All",https://bronxandbanco.com/wp-content/uploads/2020/07/bridal-dresses-sexy-263-750x1125.jpg
