,Title,Year,Certification,Time,Genre,Star,Meta,Resume,Director,Actors,Vote,Gross
205,Yam Daabo,(1987),None,80 min,Drama,6.4,None,"Poverty and misery are rife in Gourga, a village in the Sahel. The inhabitants must choose: stay and await international assistance or leave for more fertile regions in the country.",Idrissa Ouedraogo,"['Idrissa Ouedraogo', 'Moussa Blogo', 'Aoua Guiraud', 'Assita Ouedraogo', 'Fatima Ouedraogo']",83,None
206,La victoire en chantant,(1976),None,90 min,"Comedy, Drama, War",6.8,None,"During World War I, French colonists lost in African desert decide to attack their German neighbors.",Jean-Jacques Annaud,"['Jean-Jacques Annaud', 'Jean Carmet', 'Jacques Dufilho', 'Catherine Rouvel', 'Jacques Spiesser']","1,644",None
207,Nollywood Babylon,(2008),None,74 min,Documentary,6.7,None,"Nigeria's film industry, Nollywood, is the third-largest in the world--an unstoppable economic and cultural force that has taken the continent by storm and is now bursting beyond the ...See full summary»",Ben Addelman,"['Ben Addelman', 'Samir Mallal', 'Wael Saleeb El Americany', 'Osita Iheme', 'Chinedu Ikedieze', 'Lancelot Oduwa Imasuen']",228,None
208,Dust Devil,(1992),R,115 min,"Horror, Mystery, Thriller",6.2,None,A woman on the run from her abusive husband encounters a mysterious hitch-hiker.,Richard Stanley,"['Richard Stanley', 'Robert John Burke', 'Chelsea Field', 'Zakes Mokae', 'John Matshikiza']","5,476",None
209,Cry Freedom,(1987),None,157 min,"Biography, Drama, History",7.4,59,"South African journalist Donald Woods is forced to flee the country after attempting to investigate the death in custody of his friend, the Black anti-Apartheid activist Steve Biko.",Richard Attenborough,"['Richard Attenborough', 'Denzel Washington', 'Kevin Kline', 'Josette Simon', 'Wabei Siyolwe']","13,718",$5.90M
210,Tarzan's Jungle Rebellion,(1967),None,94 min,Adventure,5.4,None,This jungle adventure is comprised of two episodes from the 1966-69 TV show.,William Witney,"['William Witney', 'Ron Ely', 'Jason Evers', 'Lloyd Haynes', 'Sam Jaffe']",37,None
211,Act of Valor,(2012),R,110 min,"Action, Adventure, Thriller",6.4,40,An elite team of Navy SEALs embark on a covert mission to recover a kidnapped CIA agent.,Mike McCoy,"['Mike McCoy', 'Scott Waugh', 'Alex Veadov', 'Roselyn Sanchez', 'Nestor Serrano', 'Rorke Denver']","69,776",$70.01M
212,Outbreak,(1995),R,127 min,"Action, Drama, Thriller",6.6,64,Army doctors struggle to find a cure for a deadly virus spreading throughout a California town that was brought to America by an African monkey.,Wolfgang Petersen,"['Wolfgang Petersen', 'Dustin Hoffman', 'Rene Russo', 'Morgan Freeman', 'Kevin Spacey']","131,160",$67.82M
213,The Wild,(2006),G,95 min,"Animation, Adventure, Comedy",5.2,47,"An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back.",Steve 'Spaz' Williams,"[""Steve 'Spaz' Williams"", 'Kiefer Sutherland', 'Jim Belushi', 'Eddie Izzard', 'Janeane Garofalo']","26,362",$37.38M
214,Hatari!,(1962),None,157 min,"Action, Adventure, Comedy",7.1,None,A group of men trap wild animals in Africa and sell them to zoos before the arrival of a female wildlife photographer threatens to change their ways.,Howard Hawks,"['Howard Hawks', 'John Wayne', 'Elsa Martinelli', 'Hardy Krüger', 'Red Buttons']","13,344",$14.00M
215,King Solomon's Mines,(1985),None,100 min,"Action, Adventure, Comedy",5.2,29,Fortune hunter Allan Quatermain teams up with a resourceful woman to help her find her missing father lost in the wilds of 1900s Africa while being pursued by hostile tribes and a rival German explorer.,J. Lee Thompson,"['J. Lee Thompson', 'Richard Chamberlain', 'Sharon Stone', 'Herbert Lom', 'John Rhys-Davies']","13,864",$15.06M
216,The Dogs of War,(1980),None,119 min,"Action, Adventure, Drama",6.3,56,"Mercenary James Shannon, on a reconnaissance job to the African nation of Zangaro, is tortured and deported. He returns to lead a coup.",John Irvin,"['John Irvin', 'Christopher Walken', 'Tom Berenger', 'Colin Blakely', 'Hugh Millais']","8,742",None
217,The Air Up There,(1994),PG,107 min,"Comedy, Family, Sport",5.5,None,A basketball coach travels to Africa to recruit a new star.,Paul Michael Glaser,"['Paul Michael Glaser', 'Kevin Bacon', 'Charles Gitonga Maina', 'Yolanda Vazquez', 'Winston Ntshona']","9,169",$21.01M
218,The Gods Must Be Crazy II,(1989),None,98 min,Comedy,6.8,51,"Six people meet in the Kalahari desert: a female NYC lawyer flying with a local zoologist/pilot in a mini-plane, a Cuban and an African soldier taking each other POW, a Boer elephant poacher, and a Bushman looking for his two children.",Jamie Uys,"['Jamie Uys', 'N!xau', 'Lena Farugia', 'Hans Strydom', 'Eiros']","17,239",$6.29M
