Author,BookTitle,Date,PriceAPaperback,PriceBkindle,Ratings,SummaryAuthor,XcoverPicture
, Metro 2034 , ,," 79.99 , 15.99 , 14.99 ","2,029 ",,
Mo Xiang Tong Xiu,  The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 2 ,"   April 19, 2022 ", 15.30 , 8.49 ,"2,085 ","Mo Xiang Tong Xiu ,(MXTX) is a globally renowned and ,New York Times’, bestselling author whose works are often cited as the most well-known of the modern danmei genre. Originally self-published in Chinese via the novel serialization website, JJWXC, her current titles include ,The Scum Villain’s Self-Saving System,, ,Grandmaster of Demonic Cultivation,, and ,Heaven Official’s Blessing,, all available in English from Seven Seas. Her series have enormously popular multimedia adaptations and have been published in numerous languages around the world.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,  Stars of Chaos: Sha Po Lang (Novel) Vol. 1 ,"   July 11, 2023 ", 18.98 ,,,"Priest ,is a bestselling and award-winning Chinese author known for a large body of work, including several popular danmei series. Priest's works have been translated into many languages and adapted into animated shows, audio dramas, comics, and live-action dramas, and include hits ,Guardian: Zhen Hun, Bandits/Legend of Fei, Faraway Wanderers/Word of Honor, ,and, Stars of Chaos: Sha Po Lang.",
Miyako Tsukahara,  The Abandoned Heiress Gets Rich with Alchemy and Scores an Enemy General! ,  Kindle Edition , 7.99 ,,1 rating,,
Serhiy Zhadan,  Voroshilovgrad ,"   May 24, 2016 ", 15.95 , 7.96 ,50 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,  Easy Spanish Phrase Book NEW EDITION: Over 700 Phrases for Everyday Use (Dover Language Guides Spanish) ,"   March 21, 2013 ", 5.00 , 3.79 ,"6,910 ","Pablo Garcia-Loaeza is an Assistant Professor of Spanish at West Virginia University, where he specializes in Latin American literature and culture. He is the author of four other Dover Spanish Language titles.",https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Michael Ondaatje,  The English Patient ,"   November 30, 1993 ", 9.89 ," 13.99 , 20.99 , 54.95 ","1,924 ",,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
,  Poetry Speaks! Student Workbook: Study of Language Arts: The Poem - Grades 9-12 ,"   October 17, 2021 ", 24.99 ,,6 ,,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Grady Hendrix,  Horrorstor: A Novel ,  Kindle Edition , 9.99 , 14.99 ,"5,038 ",,
,"  Merriam-Webster Webster’s Spanish-English Dictionary for Students, Second Edition (English and Spanish Edition) ","   December 30, 2015 ", 4.99 ,,"7,798 ",,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
Isabel Allende,  The House of the Spirits: A Novel ,"   December 15, 2015 ", 11.25 ," 13.99 , 27.49 , 8.00 , 43.24 ","4,187 ",,https://m.media-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png
